ID,model,scale,AIC,AICw,rank
N15059_2015_sum,forest,150,923.0317023,0.0027,3
N15059_2015_sum,forest,3390,923.2351723,0.0025,4
N15059_2015_sum,forest,3450,923.301836,0.0024,5
N15059_2016_win,forest,1110,777.1481451,0.6336,1
N15059_2016_win,forest,1050,778.5782701,0.3099,2
N15059_2016_win,forest,1170,782.6255979,0.041,3
N15059_2016_win,forest,1230,786.4802133,0.006,4
N15059_2016_win,forest,990,786.9902977,0.0046,5
N15059_2016_sum,forest,3270,1411.033382,0.5399,1
N15059_2016_sum,forest,3330,1411.900564,0.35,2
N15059_2016_sum,forest,3390,1414.868112,0.0794,3
N15059_2016_sum,forest,3210,1416.824337,0.0298,4
N15059_2016_sum,forest,3450,1424.491466,6.00E-04,5
N15060_2015_sum,forest,3810,794.6929781,0.0845,1
N15060_2015_sum,forest,1650,794.7815407,0.0808,2
N15060_2015_sum,forest,1710,794.9152347,0.0756,3
N15060_2015_sum,forest,3870,794.9406845,0.0746,4
N15060_2015_sum,forest,3750,794.9425774,0.0745,5
N15063_2015_win,forest,990,943.6904045,0.776,1
N15063_2015_win,forest,1050,946.8495471,0.1599,2
N15063_2015_win,forest,750,950.9607663,0.0205,3
N15063_2015_win,forest,930,951.881292,0.0129,4
N15063_2015_win,forest,690,952.6188372,0.0089,5
N15063_2015_sum,forest,2370,1035.550401,0.2399,1
N15063_2015_sum,forest,2190,1035.873698,0.2041,2
N15063_2015_sum,forest,2250,1036.010463,0.1906,3
N15063_2015_sum,forest,2310,1036.549513,0.1456,4
N15063_2015_sum,forest,2430,1037.679493,0.0827,5
N15063_2016_win,forest,2250,791.2102902,0.4334,1
N15063_2016_win,forest,2190,791.2526459,0.4243,2
N15063_2016_win,forest,2310,794.2620701,0.0942,3
N15063_2016_win,forest,2130,796.1119218,0.0374,4
N15063_2016_win,forest,2370,799.7842382,0.006,5
N15063_2016_sum,forest,690,1095.980644,0.8511,1
N15063_2016_sum,forest,750,1099.894835,0.1202,2
N15063_2016_sum,forest,630,1103.008403,0.0253,3
N15063_2016_sum,forest,810,1107.278427,0.003,4
N15063_2016_sum,forest,570,1112.603976,2.00E-04,5
N15065_2015_win,forest,1350,1062.340166,0.8696,1
N15065_2015_win,forest,1290,1066.861333,0.0907,2
N15065_2015_win,forest,1410,1068.899071,0.0327,3
N15065_2015_win,forest,1230,1073.249622,0.0037,4
N15065_2015_win,forest,1110,1075.895417,0.001,5
N15065_2015_sum,forest,3270,1219.306652,0.2048,1
N15065_2015_sum,forest,3330,1219.308736,0.2046,2
N15065_2015_sum,forest,3210,1219.496446,0.1862,3
N15065_2015_sum,forest,3390,1220.085087,0.1388,4
N15065_2015_sum,forest,3150,1220.118392,0.1365,5
N15065_2016_win,forest,2130,1335.944065,0.5413,1
N15065_2016_win,forest,2070,1337.034435,0.3138,2
N15065_2016_win,forest,2190,1338.810137,0.1291,3
N15065_2016_win,forest,2250,1344.26062,0.0085,4
N15065_2016_win,forest,2010,1345.282047,0.0051,5
N15065_2016_sum,forest,1770,1173.590424,0.3066,1
N15065_2016_sum,forest,1710,1174.177428,0.2286,2
N15065_2016_sum,forest,1830,1174.337286,0.211,3
N15065_2016_sum,forest,1650,1175.288414,0.1312,4
N15065_2016_sum,forest,1890,1176.908306,0.0584,5
N15066_2015_win,forest,930,1157.383457,0.402,1
